# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 269:         5.520       52.458      -3.70  LELYSTAD
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  269,20160817,  164,  105,  229
  269,20160818,  167,  100,  234
  269,20160819,  180,  102,  248
  269,20160820,  178,  142,  228
  269,20160821,  163,  144,  196
  269,20160822,  174,  150,  215
  269,20160823,  212,  153,  267
  269,20160824,  233,  171,  303
  269,20160825,  239,  159,  312
  269,20160826,  207,  163,  246
  269,20160827,  206,  150,  257
  269,20160828,  201,  170,  242
  269,20160829,  170,  104,  202
  269,20160830,  164,  100,  232
  269,20160831,  177,  104,  246
  269,20160901,  173,  114,  221
  269,20160902,  166,  114,  214
  269,20160903,  179,  142,  220
  269,20160904,  177,  160,  210
  269,20160905,  178,  129,  221
  269,20160906,  183,  116,  242
  269,20160907,  188,  123,  263
  269,20160908,  194,  121,  263
  269,20160909,  175,  126,  228
  269,20160910,  187,  126,  251
  269,20160911,  187,  157,  210
  269,20160912,  213,  139,  291
  269,20160913,  233,  159,  320
  269,20160914,  230,  158,  313
  269,20160915,  217,  157,  287
  269,20160916,  177,  157,  215
  269,20160917,  171,  113,  203
  269,20160918,  164,  127,  203
  269,20160919,  145,  101,  197
  269,20160920,  142,   74,  194
  269,20160921,  149,   91,  204
  269,20160922,  146,   76,  203
  269,20160923,  143,   92,  199
  269,20160924,  163,   94,  231
  269,20160925,  168,  122,  247
  269,20160926,  138,   85,  191
  269,20160927,  145,   66,  205
  269,20160928,  182,  155,  218
  269,20160929,  155,  131,  179
  269,20160930,  137,  106,  179
  269,20161001,  133,  100,  180
  269,20161002,  120,   86,  151
  269,20161003,  140,   92,  183
  269,20161004,  124,   92,  170
  269,20161005,   90,   35,  141
  269,20161006,   93,   33,  129
  269,20161007,  118,   94,  143
  269,20161008,  104,   42,  146
  269,20161009,   72,   10,  138
  269,20161010,   69,   22,  127
  269,20161011,   84,    8,  132
  269,20161012,   89,   75,  100
  269,20161013,   87,   72,  105
  269,20161014,   94,   70,  127
  269,20161015,  105,   85,  142
  269,20161016,  130,   78,  189
  269,20161017,  119,   86,  161
  269,20161018,  101,   79,  131
  269,20161019,   90,   58,  118
  269,20161020,   89,   37,  117
  269,20161021,   77,   34,  116
  269,20161022,   74,   27,  107
  269,20161023,   52,   12,  119
  269,20161024,   65,   30,   84
  269,20161025,   76,   48,  100
  269,20161026,   97,   64,  122
  269,20161027,  113,   86,  142
  269,20161028,  122,   78,  147
  269,20161029,   90,   47,  140
  269,20161030,   92,   49,  140
  269,20161031,   99,   52,  165
  269,20161101,   91,   53,  138
  269,20161102,   73,   25,  110
  269,20161103,   69,   16,  112
  269,20161104,   73,   63,   92
  269,20161105,   64,   34,   97
  269,20161106,   64,   37,  101
  269,20161107,   39,   -5,   62
  269,20161108,   15,  -41,   45
  269,20161109,   29,    5,   42
  269,20161110,   36,   29,   46
  269,20161111,   21,  -26,   54
  269,20161112,   20,  -16,   48
  269,20161113,   22,  -18,   41
  269,20161114,   28,  -29,   69
  269,20161115,  103,   68,  128
  269,20161116,  115,   85,  143
  269,20161117,   88,   68,  111
  269,20161118,   60,   29,   83
  269,20161119,   54,   32,   82
  269,20161120,   78,   44,  115
  269,20161121,  117,   69,  137
  269,20161122,  107,   58,  127
  269,20161123,   71,   32,  100
  269,20161124,   57,   21,   77
  269,20161125,   23,  -10,   66
  269,20161126,   -5,  -23,   36
  269,20161127,   58,   -3,   92
  269,20161128,   -6,  -46,   40
  269,20161129,  -28,  -64,   31
  269,20161130,   24,  -39,   68
  269,20161201,   78,   52,   93
  269,20161202,   52,  -18,   86
  269,20161203,    6,  -31,   76
  269,20161204,  -20,  -50,   21
  269,20161205,  -29,  -65,   28
  269,20161206,  -10,  -64,   43
  269,20161207,   58,   18,   87
  269,20161208,   78,   60,   95
  269,20161209,   92,   73,  105
  269,20161210,   78,   65,   95
  269,20161211,   79,   62,   95
  269,20161212,   58,   18,   76
  269,20161213,   63,   46,   74
  269,20161214,   80,   73,   89
  269,20161215,   67,   51,   82
  269,20161216,   41,    6,   75
  269,20161217,   55,   27,   75
  269,20161218,   52,   23,   86
  269,20161219,   37,   -2,   74
  269,20161220,   -7,  -30,   11
  269,20161221,   38,    1,   68
  269,20161222,   57,   39,   74
  269,20161223,   58,   39,   79
  269,20161224,   76,   43,   95
  269,20161225,  101,   82,  117
  269,20161226,   80,   61,  113
  269,20161227,   65,   21,   89
  269,20161228,   11,  -19,   31
  269,20161229,  -14,  -27,   -3
  269,20161230,  -17,  -56,   13
  269,20161231,   24,   10,   37
  380,20160101,   60,   36,   87
  380,20160102,   74,   48,   95
  380,20160103,   66,   44,   88
  380,20160104,   63,   39,   76
  380,20160105,   67,   43,   80
